Application ID,Current City,Other skills,Institute,Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
MS0333,Gurugram,"C Programming, Data Analytics, Data Structures, Machine Learning, Neural Networks, Python","Ambedkar Institute of Advanced Communication Technologies & Research, New Delhi",Bachelor of Technology (B.Tech),Computer Science & Engineering,2020,N/A,8.78/10,95.20/95.20,9.00/9.00
MS0334,Manipal,"C Programming, Python, Deep Learning, Image Processing, Linux, Machine Learning",Manipal Institute of Technology,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,N/A,96.00/96.00,88.00/88.00
MS0335,Vijayawada,"Creative Writing, MS-Excel, Python, Adobe Photoshop, C Programming, Data Science, Deep Learning, Digital Marketing, MATLAB, Machine Learning","Indian Institute Of Information Technology Design And Manufacturing, Kurnool",Bachelor of Technology (B.Tech),Electronics And Communication Engineering With Specialization In Design And Manufacturing,2021,N/A,7.78/10,96.60/96.60,10.00/10.00
MS0336,Jabalpur,"Android, C++ Programming, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Java, Algorithms, Database Management System (DBMS), Firebase, Machine Learning, REST API",Jabalpur Engineering College,Bachelor of Technology (B.Tech),Information Technology,2021,N/A,7.45/10,85.40/85.40,9.80/9.80
MS0337,Chennai,"Adobe Photoshop, C Programming, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), HTML, Hindi Proficiency (Spoken), Machine Learning, MySQL, BIG DATA ANALYTICS, Bootstrap, CSS, Neural Networks, OpenCV, Tamil Proficiency (Spoken)","SRM Institute of Science and Technology, Chennai",Bachelor of Technology (B.Tech),Information Technology,2020,N/A,N/A,78.20/78.20,9.20/9.20
MS0338,Ghaziabad,"CSS, HTML, JavaScript, Machine Learning, Python, Node.js",JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,Bachelor of Technology (B.Tech),,2021,N/A,N/A,89.00/89.00,9.40/9.40
MS0339,Banglore,,MITS,Bachelor of Technology (B.Tech),Electronics and Communication,2020,N/A,8.59/10,92.00/92.00,8.80/8.80
MS0340,Lohardaga,"Python, C Programming, C++ Programming, Java",Bengal College of Engineering and Technology,Bachelor of Technology (B.Tech),Computer Science & Engineering,2020,N/A,7.24/10,N/A,N/A
MS0341,Jaipur,"Algorithms, C++ Programming, Data Analytics, Data Structures, Deep Learning, Machine Learning, Python, CSS, Computer Vision, Django, HTML, Java, JavaScript, Natural Language Processing (NLP), OpenCV, R Programming, SQL, Statistical Modeling",Lakshmi Niwas Mittal Institute of Information Technology,Bachelor of Technology (B.Tech),computer science,2021,N/A,9.43/10,N/A,N/A
MS0342,New Delhi,"C Programming, Computer Vision, Deep Learning, Image Processing, Java, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, CSS, HTML, SQL",IIT Delhi,Bachelor of Technology (B.Tech),Chemical Engineering,2021,N/A,7.80/10,N/A,N/A
MS0343,Rourkela,"C Programming, CSS, HTML, Bootstrap, Data Structures, Database Management System (DBMS), Machine Learning, MySQL, Python",NIT Rourkela,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,7.29/10,91.32/91.32,88.00/88.00
MS0344,Noida,"Python, SQL, Data Analytics, Deep Learning, Machine Learning, R Programming, Statistical Modeling","Maharishi Arvind Institute of Engineering and Technology ,Jaipur",Bachelor of Technology (B.Tech),Information Systems,2014,N/A,6.70/10,N/A,N/A
MS0345,Hamirpur,"Algorithms, Android, C Programming, C++ Programming, Data Structures, Deep Learning, Eclipse (IDE), Firebase Cloud Messaging, GitHub, HTML, Java, JavaScript, Linux, MATLAB, MS-Excel, MS-Office, Machine Learning, MySQL, Python, SQLite, XML, CSS, Data Science, Natural Language Processing (NLP)",IIIT UNA,Bachelor of Technology (B.Tech),Computer Science & Engineering,2020,N/A,6.85/10,N/A,N/A
MS0346,Delhi,"C++ Programming, Deep Learning, Python, C Programming, Flutter, HTML, Machine Learning, R Programming",,,,0,N/A,N/A,94.20/94.20,10.00/10.00
MS0347,Hyderabad,"AutoCAD, PTC Creo, Adobe XD, Autodesk Fusion 360, C++ Programming, Deep Learning, Digital Marketing, Java, MATLAB, MS-Excel, Microsoft Visual Studio, OpenCV, OpenGL, Python, Adobe Illustrator, Blender 3D, Computer Vision, Machine Learning, SolidWorks",BITS Pilani,Bachelor of Engineering (B.E) (Hons.),Mechanical Engineering,2022,N/A,5.60/10,91.50/91.50,91.20/91.20
MS0348,Balasore,"C++ Programming, Creative Writing, Data Structures, GitHub, Java, LaTeX, Linux, MySQL, Python","Amity University, Noida",Bachelor of Technology (B.Tech),computer science,2020,N/A,8.20/10,86.20/86.20,N/A
MS0349,Pune,"C Programming, MS-Office, Amazon Web Services (AWS), Artifical Intelligence, C++ Programming, Data Science, Deep Learning, Eclipse (IDE), HTML, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Python, Flask, JavaScript, Microsoft Azure, PHP, Vue Js, WordPress",PVG's College Of Engineering And Technology,Bachelor of Engineering (B.E),Computer  Science,2021,N/A,8.42/10,N/A,83.00/83.00
MS0350,Alappuzha,"Arduino, C Programming, HTML, Python, Machine Learning, PHP","Amrita School Of Engineering, Amritapuri",Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,N/A,N/A,N/A
MS0351,Lucknow,"Data Structures, Python, Django, MS-Excel, Machine Learning, Mathematics, MySQL, C++ Programming, CSS, HTML",Sr Group Of Institution Lucknow,Bachelor of Technology (B.Tech),Computer  Science Engineering,2020,N/A,8.00/10,8.60/8.60,8.00/8.00
MS0352,Hyderabad,"C Programming, MySQL, Python, R Programming, Apache Kafka, C++ Programming, Django, Java",University of Hyderabad,Integrated B.Tech,computer science,2020,7.50/10,N/A,N/A,7.90/7.90
MS0353,Bangalore,"English Proficiency (Spoken), MS-Word, C Programming, English Proficiency (Written), MS-Excel, MS-PowerPoint, Machine Learning, Mathematics, Python, Report Writing, Statistical Modeling, Deep Learning, UI & UX Design","NIIT University, Neemrana, Rajasthan",B.Tech (Hons.),computer science,2020,N/A,8.31/10,91.80/91.80,10.00/10.00
MS0354,Indore,"MS-Excel, Machine Learning, Python, Data Analytics, Deep Learning, SQL",Indian Institute Of Technology (BHU) Varanasi,Dual Degree,Pharmaceutical Engineering And Technology,2022,N/A,8.72/10,91.80/91.80,10.00/10.00
MS0355,Coimbatore,"C Programming, Data Analytics, MS-Excel, Machine Learning, Python, R Programming, SQL, C++ Programming, Java, MATLAB, Unix",PSG College of Technology,Integrated M.Sc.,Data Science,2021,7.78/10,N/A,87.20/87.20,94.00/94.00
MS0356,Hamirpur,"C++ Programming, HTML, Machine Learning, Python, Arduino, MySQL",National Institute Of Technology Hamirpur,Bachelor of Technology (B.Tech),Mechanical Engineering,2023,N/A,8.08/10,93.50/93.50,10.00/10.00
MS0357,Kanpur,"C Programming, Deep Learning, Machine Learning, Neural Networks, Python, Photography",Indian Institute Of Technology Kanpur,Bachelor of Technology (B.Tech),Electrical Engineering,2022,N/A,8.54/10,7.44/7.44,9.60/9.60
MS0358,Vellore,"C Programming, Deep Learning, HTML, Java, JavaScript, Machine Learning, Python, SQL, Shell Scripting",VIT Vellore,Bachelor of Technology (B.Tech),computer science,2020,N/A,8.51/10,96.00/96.00,9.50/9.50
MS0359,Pala,"Node.js, OpenCV, Python, Computer Vision, Data Science, Flask, Machine Learning","Indian Institute Of Information Technology, Kottayam",Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,8.41/10,92.00/92.00,92.50/92.50
MS0360,Gonda,"Hindi Proficiency (Spoken), English Proficiency (Written), MS-Office",,,,0,N/A,N/A,N/A,82.00/82.00
MS0361,Patna,MS-Office,NIT Patna,B.Tech (Hons.),Computer Science And Engineering(CSE),2022,N/A,9.48/10,9.80/9.80,10.00/10.00
MS0362,Ghaziabad,"C Programming, C++ Programming, Computer Vision, Machine Learning, OpenCV, Python, Data Structures, Deep Learning",KIET Group of Institutions,Bachelor of Technology (B.Tech),Computer Science & Engineering,2022,N/A,92.59/100,84.20/84.20,88.16/88.16
MS0363,Bangalore,"Android, C Programming, C++ Programming, CSS, Data Science, Flutter, HTML, Java, JavaScript, Machine Learning, Python",RNSIT,Bachelor of Computer Science (B.C.S.),Computer  Science,2021,N/A,8.60/10,N/A,N/A
MS0364,Delhi,"Autodesk Inventor, C Programming, C++ Programming, MATLAB, MS-Office, Python, SQL, Data Science, Java, Machine Learning",Indian Institute Of Technology Delhi,Bachelor of Technology (B.Tech),Biochemical Engineering,2021,N/A,6.76/10,90.40/90.40,N/A
MS0365,Kolkata,"MS-Excel, MS-Word, CCNA, Python",Global Institute of Management & Technology,Bachelor of Technology (B.Tech),Electronics and Communication,2014,N/A,7.16/10,65.00/65.00,82.60/82.60
MS0366,Varanasi,"C Programming, C++ Programming, Data Analytics, Java, MS-Excel, Machine Learning, Python, Statistical Modeling",Indian Institute Of Technology Patna,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2022,N/A,6.71/10,89.60/89.60,93.33/93.33
MS0367,Kolkata,"English Proficiency (Spoken), English Proficiency (Written), C Programming, C++ Programming, Creative Writing, Hindi Proficiency (Spoken), Hindi Proficiency (Written), Machine Learning, Mathematics, Deep Learning, Java, Natural Language Processing (NLP), Python","KIIT University, Bhubaneshwar",Bachelor of Technology (B.Tech),Computer  Science,2022,N/A,9.39/10,91.00/91.00,94.00/94.00
MS0368,Chennai,"ANSYS, Catia, MS-Office, R Programming, Deep Learning, MATLAB, Python",Madras School of Economics,Post Graduate Diploma in Management (P.G.D.M.),Finance,2020,N/A,2.96/4,88.70/88.70,8.20/8.20
MS0369,Godhra,"MS-Excel, Amazon Web Services (AWS), Artifical Intelligence, Data Structures, MS-PowerPoint, Machine Learning, Python, SQL, Tableau, Data Analytics",Sir Padampat Singhania University,Bachelor of Technology (B.Tech),Computer Science & Engineering,2020,N/A,8.79/10,N/A,N/A
MS0370,Nagpur,"Java, Machine Learning, Python, Android, Deep Learning","Shri Ramdeobaba College of Engineering and Management, Nagpur",Bachelor of Engineering (B.E) (Hons.),Electronics Engineering,2020,N/A,7.58/10,89.80/89.80,9.40/9.40
MS0371,Jabalpur,"C++ Programming, Deep Learning, Machine Learning, Python, SQL, Statistical Modeling, Adobe Photoshop, Flask, Natural Language Processing (NLP)",IIT (ISM) Dhanbad,Master of Technology (M.Tech),Data Analytics,2021,9.13/10,7.97/10,68.40/68.40,7.80/7.80
MS0372,Bangalore,"C Programming, HTML, MS-Word, C++ Programming, CSS, Data Analytics, Data Science, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Event Management, JavaScript, MS-Excel, Machine Learning, Mathematics, MongoDB, MySQL, PHP, Python, R Programming, SQL, Search Engine Optimization (SEO), Tableau, WordPress, jQuery, Data Structures, Django, Java, Linux, Node.js, ReactJS, Social Media Marketing, Spanish Proficiency(Spoken), Spanish Proficiency(Written), TypeScript",BMS College of Engineering,Bachelor of Engineering (B.E),Chemical Engineering,2021,N/A,N/A,90.00/90.00,85.00/85.00
MS0373,Noida,"Algorithms, C++ Programming, Data Structures, MongoDB, MySQL, Python, Data Science, Machine Learning, Node.js","Jaypee Institute of Information Technology, Noida",Bachelor of Technology (B.Tech),Information Technology,2021,N/A,7.00/10,85.00/85.00,10.00/10.00
MS0374,Narsapur,"Internet of Things (IoT), Raspberry Pi, Arduino, Deep Learning, Machine Learning, OpenCV, Python",SRM University,Bachelor of Technology (B.Tech),Electronics and Communication,2022,N/A,8.00/10,N/A,N/A
MS0375,Visakhapatnam,"C Programming, CSS, HTML, Machine Learning, Python, Data Analytics, Java",Gayatri Vidya Parishad College Of Engineering (A),B.Tech (Hons.),Computer Science & Engineering,2021,N/A,8.80/10,97.00/97.00,90.00/90.00
MS0376,Hyderabad,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, SAP, SQL",Guru Nanak Engineering college,Bachelor of Technology (B.Tech),Electronics and Communication,2015,N/A,67.08/100,N/A,N/A
MS0377,Ranchi,"AutoCAD, Flask, MS-Office, MS-PowerPoint, MS-Word, Python, .NET, Adobe Photoshop, Adobe Premiere Pro, CSS, Data Analytics, Data Science, JavaScript, Teaching, Arduino, Deep Learning, Machine Learning, Neural Networks",IIT Bhubaneswar,B.Tech (Hons.),Mechanical Engineering,2021,N/A,8.37/10,83.00/83.00,10.00/10.00
MS0378,Bangalore,"C Programming, C++ Programming, Java, Machine Learning, OpenCV, Python, Data Science, HTML, Neural Networks, Unity 3D",Reva Uniersity,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,9.64/10,90.00/90.00,97.00/97.00
MS0379,Patna,"C Programming, C++ Programming, Mathematics, Python, Computer Vision, Data Analytics, Economics, Machine Learning, Neural Networks, Natural Language Processing (NLP), SQL",Indian Institute Of Technology Patna,Bachelor of Technology (B.Tech),Computer Science &amp;and Engineering,2022,N/A,7.50/10,91.00/91.00,90.00/90.00
MS0380,Gandhinagar,"Computer Vision, Data Science, Database Management System (DBMS), Deep Learning, Image Processing, Java, MATLAB, Machine Learning, Natural Language Processing (NLP), OpenCV, PostgreSQL, Python",Indian Institute Of Information Technology Vadodara,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,8.93/10,92.00/92.00,8.60/8.60
MS0381,Delhi,"Java, Python, SQL, Machine Learning","Netaji Subhas Institute of Technology, New Delhi",Bachelor of Engineering (B.E),Mechanical Engineering,2021,N/A,8.53/10,95.00/95.00,9.60/9.60
MS0382,Lucknow,"Hindi Proficiency (Spoken), Hindi Proficiency (Written), .NET, Algorithms, C#, CSS, Data Structures, HTML, J2EE, Java, JavaScript, Machine Learning, OpenGL, Python, SQL, ARM Microcontroller, Kannada Proficiency (Spoken)",VTU,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,7.00/10,N/A,N/A
MS0383,Mumbai,"Data Analytics, Machine Learning, Python, Natural Language Processing (NLP), SQL",st. francis institute of technology,Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2019,N/A,6.49/10,N/A,77.80/77.80
MS0384,Hyderabad,"Data Analytics, MS-Excel, MS-Office, Machine Learning, Python, Computer Vision, Deep Learning, Image Processing, Natural Language Processing (NLP)",Ellenki College Of Engineering And Technology,Master of Technology (M.Tech),Thermal Engineering,2017,74.50/100,65.50/100,93.60/93.60,81.30/81.30
MS0385,Namakkal,"C++ Programming, Python, R Programming, SQL, Machine Learning",Coimbatore Institute Of Technology,Integrated M.Sc.,Data Analytics,2022,N/A,7.50/10,90.00/90.00,97.00/97.00
MS0386,Aligarh,"C Programming, C++ Programming, CSS, Eclipse (IDE), HTML, Java, MS-Word, Machine Learning, PHP, Python, Android, Bootstrap, Data Analytics, Django, Image Processing, Linux, MySQL, Natural Language Processing (NLP), OpenGL, Photography, Raspberry Pi, VHDL",Zakir Husain College of Engineering and Technology,Master of Technology (M.Tech),Software Engineering,2020,8.33/10,63.33/100,85.00/85.00,84.60/84.60
MS0387,Delhi,"Data Analytics, MS-Excel, MS-Office, Machine Learning, R Programming, SQL, Tableau, C++ Programming, Deep Learning, GitHub, Python",Dr Akhilesh Das Gupta Institue Of Technology And Management,Bachelor of Technology (B.Tech),Computer Science And Technology,2021,N/A,75.00/100,90.00/90.00,98.00/98.00
MS0388,Pune,"English Proficiency (Spoken), C Programming, C++ Programming, Machine Learning, Neural Networks, Python",Army Institute of Technology,Bachelor of Engineering (B.E),Information Technology,2022,N/A,8.96/10,9.14/9.14,10.00/10.00
MS0389,Faridabad,"Algorithms, C Programming, C++ Programming, Data Structures, HTML, CSS, Computer Vision, Data Analytics, Deep Learning, Image Processing, MATLAB, Machine Learning, Python, Linux",IIT Patna,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2021,N/A,7.67/10,92.20/92.20,9.80/9.80
MS0390,Coimbatore,"Data Analytics, MS-Office, Machine Learning, MySQL, Statistical Modeling, Python, R Programming, SAP",Kongu Engineering College,Bachelor of Engineering (B.E),Mechnaical,2017,N/A,7.85/10,N/A,N/A
MS0391,Lagos,"Data Analytics, Machine Learning, Python, SQL, Computer Vision, Image Processing, Natural Language Processing (NLP)",Lagos State University,Master of Philosophy (M.Phil),Philosophy,2022,N/A,N/A,N/A,N/A
MS0392,Pune,"HTML, Java, Swing (Java), CSS, MySQL",IIIT Pune,Bachelor of Engineering (B.E),Computer Engneering,2019,N/A,75.00/100,N/A,N/A
MS0393,Hyderabad,"Data Analytics, MS-Office, Machine Learning, Python, Statistical Modeling, Data Structures",Pcte,PGPM & MBA,Finance,2015,N/A,N/A,N/A,N/A
MS0394,Kadapa,"Arduino, C Programming, Chemistry, English Proficiency (Spoken), English Proficiency (Written), Event Management, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Mathematics, Natural Language Processing (NLP), Physics, Python, Robotics, Teaching, Telugu Proficiency (Spoken)","Rajiv Gandhi University of Knowledge Technologies, Andhra Pradesh",Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,9.15/10,9.88/9.88,10.00/10.00
MS0395,Gurugram,"Data Analytics, Deep Learning, English Proficiency (Spoken), Machine Learning, Python, Statistical Modeling, Flask, Heroku, MS-Excel, MySQL, SQL, SQLite",BML Munjal University,Bachelor of Technology (B.Tech),Mechanical Engineering,2019,N/A,8.65/10,95.20/95.20,10.00/10.00
MS0396,Mumbai,"Algorithms, Android, C Programming, Data Science, Data Structures, Java, Machine Learning, Python, C++ Programming",Rajiv Gandhi College Of Engineering,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,9.28/10,91.10/91.10,96.80/96.80
MS0397,Gandhinagar,"MS-Office, Python, Autodesk Revit, Data Analytics, Deep Learning, English Proficiency (Written), MS-Excel, Machine Learning, R Programming, SQL, Chemistry",IIT Gandhinagar,Bachelor of Technology (B.Tech),Chemical Engineering,2021,N/A,7.30/10,N/A,N/A
MS0398,Jabalpur,"Data Analytics, Data Science, Machine Learning, Python, Artifical Intelligence, Computer Vision, Deep Learning","National Institute Of Technology, Andhra Pradesh",Bachelor of Engineering (B.E),Civil Engineering,2021,N/A,N/A,N/A,N/A
MS0399,Bangalore,"Data Analytics, SQL, Machine Learning, Python, Statistical Modeling, Deep Learning, R Programming",Gujarat Technological University,Bachelor of Engineering (B.E),Computer Science & Engineering,2016,N/A,8.34/10,79.00/79.00,86.46/86.46
MS0400,Jabalpur,"Artifical Intelligence, C Programming, Deep Learning, HTML, Java, MS-Office, Python, R Programming, Software Testing, Computer Vision, Data Analytics, Data Science, Django, Image Processing, Machine Learning",IIITDM JABALPUR,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,5.10/10,97.00/97.00,9.60/9.60
MS0401,Delhi,"Data Analytics, Database Management System (DBMS), MS-Excel, PostgreSQL, SQL, Python",GBU,Master of Technology (M.Tech),Computer  Science,2016,7.42/10,66.00/100,62.00/62.00,N/A
MS0402,Bhubaneswar,"C Programming, C++ Programming, Deep Learning, HTML, Java, LaTeX, Machine Learning, Natural Language Processing (NLP), OpenCV, Python, Computer Vision, Neural Networks",IIIT Bhubaneswar,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,8.00/10,92.00/92.00,95.33/95.33
MS0403,Pune,"C++ Programming, Data Science, Java, Machine Learning, Python",PES Modern College Of Engineering,Bachelor of Engineering (B.E),Computer  Science,2021,N/A,7.44/10,N/A,N/A
MS0404,Moradabad,"C Programming, Machine Learning, Python, Django, HTML, SQL",DITU,Bachelor of Technology (B.Tech),,2022,N/A,N/A,82.20/82.20,9.80/9.80
MS0405,Ajmer,"C Programming, C++ Programming, Data Analytics, Data Structures, Database Management System (DBMS), Python, Machine Learning","Govt. Women Engineering College,Ajmer",Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,7.00/7,N/A,8.00/8.00
MS0406,Banglore,,VIT Vellore,Master of Technology (M.Tech),Sensor System Technology,2020,7.60/100,71.46/100,N/A,N/A
MS0407,Ichalkaranji,"Java, Linux, Python, Amazon Web Services (AWS), Cloud Computing, Hadoop, Machine Learning, Shell Scripting, Tableau",IACSD,Post Graduate Diploma in Big Data Analytics (PG-DBDA),Data Analytics,2020,N/A,71.25/100,79.33/79.33,86.13/86.13
MS0408,Kota,"Python, R Programming, Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP)",BITS Pilani,Dual Degree,B.E Computer  Science And MSc Mathematics,2023,N/A,8.47/10,N/A,N/A
MS0409,Delhi,"BIG DATA ANALYTICS, C Programming, C++ Programming, Data Analytics, Machine Learning, Python, Deep Learning",Maharaja Surajmal Institute of Technology,Bachelor of Technology (B.Tech),IT,2022,N/A,N/A,N/A,N/A
MS0410,Pune,"Linux, Apache Cassandra, Arduino, C Programming, C++ Programming, Cloud Computing, HTML, Hadoop, Java, Machine Learning, MongoDB, Neural Networks, SQL, Python",Vellore Institute of Technology,Master of Technology (M.Tech),Computer  Science,2020,N/A,8.10/10,N/A,N/A
MS0411,Bangalore,"CSS, HTML, REST API, AJAX, ASP.NET, Angular 2.0, Artifical Intelligence, C#, GitHub, JavaScript, Machine Learning, jQuery, Python",Indian Institute Of Technology Jodhpur,Master of Technology (M.Tech),Artificial Intelligence,2023,N/A,1.00/10,N/A,N/A
MS0412,Jaipur,"C Programming, C++ Programming, CSS, HTML, SQL, JavaScript, PHP, Python, Machine Learning","Amity School of Engineering & Technology, Jaipur",Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,9.00/10,9.70/9.70,9.70/9.70
MS0413,Delhi,"Machine Learning, ANSYS, AutoCAD, Bootstrap, Data Analytics, Data Science, Deep Learning, Django, GitHub, HTML, Image Processing, JavaScript, MS-Office, Neural Networks, OpenCV, Python, Raspberry Pi, SolidWorks, CSS, Computer Vision, Internet of Things (IoT), Natural Language Processing (NLP)",Delhi Technological University,Bachelor of Technology (B.Tech),Mechanical,2021,N/A,8.81/10,94.30/94.30,10.00/10.00
MS0414,Udaipur,"WordPress, C++ Programming, Data Science, Machine Learning, MySQL, Python, Android, MongoDB","Aravali Institute of Technical Studies, Udaipur",Bachelor of Technology (B.Tech),computer science,2020,N/A,74.18/100,8.40/8.40,10.00/10.00
MS0415,Bangalore,"R Programming, SAS, C Programming, MATLAB, Python, SQL",Banaras Hindu University,Master of Science (M.Sc),Statistics,2019,6.70/10,73.50/100,68.00/68.00,74.80/74.80
MS0416,Hyderabad,"Deep Learning, Machine Learning, Python, Artifical Intelligence, Natural Language Processing (NLP)",Insofe,,Data Analytics,2019,58.00/100,60.00/100,N/A,N/A
MS0417,Hyderabad,"HTML, Python, Bootstrap, C Programming, C++ Programming, CSS, Data Structures, Deep Learning, Django, JavaScript, Linux, Machine Learning, MongoDB, MySQL, Node.js, Android, Data Science, Natural Language Processing (NLP)",Indian Institute Of Information Technology Sri City,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,7.65/10,96.50/96.50,9.50/9.50
MS0418,Noida,"C Programming, Data Analytics, MS-Excel, MS-PowerPoint, MS-Word","Anand Engineering College, Agra",Bachelor of Technology (B.Tech),Information Systems,2016,N/A,68.00/100,69.00/69.00,82.40/82.40
MS0419,Delhi,"English Proficiency (Spoken), Data Analytics, Data Science, MongoDB, Python, R Programming, SQL, Hadoop, Java, Linux, Machine Learning",National Institute Of Electronics & Information Technology,PG Diploma in Data Science,Data Science And Analytics,2020,83.00/100,7.41/10,N/A,N/A
MS0420,Lucknow,"Python, Adobe Photoshop, Android, C Programming, HTML, Java, JavaScript, MS-Office, PHP, C++ Programming, Node.js, Servlets",Shri Ramswaroop Memorial College of Engineering and Managament,Bachelor of Technology (B.Tech),Information Systems,2017,N/A,72.40/100,N/A,N/A
MS0421,Pilani,"English Proficiency (Written), Python, C++ Programming, English Proficiency (Spoken), Image Processing, MS-Excel, MS-Office, MS-Word, Artifical Intelligence, C Programming, Machine Learning",B K Birla Institute of Engineering & Technology,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,N/A,88.00/88.00,10.00/10.00
MS0422,Surat,"Deep Learning, Image Processing, Internet of Things (IoT), Java, Machine Learning, Python, SQL, SQLite, Data Science",NIT Surat,Bachelor of Technology (B.Tech),Electronics and Communication,2020,N/A,8.76/10,82.00/82.00,86.33/86.33
MS0423,Dhanbad,"C Programming, C++ Programming, Arduino, Data Structures, Machine Learning, Python, Algorithms, Data Science, GNU Octave, Raspberry Pi",Indian Institute Of Technology (ISM) Dhanbad,Bachelor of Technology (B.Tech),Electrical Engineering,2021,N/A,8.75/10,98.10/98.10,10.00/10.00
MS0424,Mumbai,"English Proficiency (Spoken), MS-Excel, Machine Learning, Python, R Programming, SQL, Tableau",Oriental Institute Of Management,Master of Management Studies (M.M.S.),Marketing,2011,N/A,N/A,N/A,N/A
MS0425,Kolkata,"Adobe Photoshop, Blogging, C Programming, C++ Programming, Deep Learning, MS-Office, MS-Word, Machine Learning, Python, HTML, JavaScript, Linux",Future Institute of Engineering & Management,Bachelor of Technology (B.Tech),Computer Science & Engineering,2022,N/A,N/A,76.00/76.00,90.00/90.00
MS0426,Jaipur,"C Programming, Data Structures, Digital Signal Processing, HTML, Image Processing, Java, Machine Learning, Deep Learning, Python",The LNM Institute of Information Technology,Integrated B.Tech & M.Tech,Computational Science,2023,N/A,8.00/10,96.50/96.50,9.40/9.40
MS0427,Dhanbad,"C++ Programming, Data Structures, Deep Learning, MATLAB, Machine Learning, Python",IIT (ISM) Dhanbad,Bachelor of Technology (B.Tech),Electrical Engineering,2021,N/A,8.18/10,91.80/91.80,10.00/10.00
MS0428,Hyderabad,"CSS, Data Analytics, MS-Excel, MS-Word, Machine Learning, Adobe Photoshop, Deep Learning, HTML, Natural Language Processing (NLP), Python, R Programming, SQL, Tableau, Computer Vision",NIT Warangal,,Data Science,2020,N/A,90.00/100,9.80/9.80,9.40/9.40
MS0429,Lucknow,"HTML, C Programming, CSS, Data Structures, JavaScript, R Programming, SQL, jQuery, AngularJS, Data Analytics, MS-Excel, Python",National Institute Of Technology Raipur C.G,Master of Computer Applications (MCA),Software Engineering,2018,6.69/10,60.22/100,65.25/65.25,50.00/50.00
MS0430,Jagtial,"Algorithms, C Programming, C++ Programming, Data Structures, Database Management System (DBMS), Java, JavaScript, PHP, Python, Computer Networks, Deep Learning, HTML, Machine Learning, Natural Language Processing (NLP), SQLite, WordPress",JNTUH COLLEGE OF ENGINEERING JAGTIAL,Bachelor of Technology (B.Tech),IT,2021,N/A,8.50/10,9.81/9.81,9.30/9.30
MS0431,Mangalore,"C Programming, LabVIEW, Python, Neural Networks",Srinivas Institute Of Technology Manglore,Bachelor of Engineering (B.E),Electrical And Electronics Engeneering,2021,N/A,7.20/10,79.00/79.00,82.00/82.00
MS0432,Bangalore,"MS-Excel, Data Analytics, Machine Learning, Python, Statistical Modeling",M A College Of Engineering,B.Tech (Hons.),Electronics and Communication,2010,N/A,78.00/100,9.18/9.18,N/A
MS0433,Ahmednagar,"MS-Excel, Machine Learning, Minitab, R Programming, Statistical Modeling, Tableau","New Arts, Commerce And Science College",Master of Science (M.Sc),Statistics,2020,N/A,81.50/100,53.54/53.54,88.00/88.00
MS0434,Banglore,"Machine Learning, Python, SQL, Java",Great Lakes Institute of Management,PG Diploma in Data Science,Data Analytics,2019,N/A,77.00/100,N/A,N/A
MS0435,Mumbai,"Bootstrap, CSS, Django, HTML, Power BI, Python, Deep Learning, MS-Excel, Machine Learning, SAS",Mumbai University (MU),Master of Computer Applications (MCA),IT,2021,N/A,6.90/7,N/A,N/A
MS0436,Delhi,"Database Management System (DBMS), MS-Excel, MySQL, Python, Data Analytics, Deep Learning, Machine Learning","Kirori Mal College, University of Delhi",Bachelor of Science (B.Sc),computer science,2021,N/A,8.09/10,91.40/91.40,N/A
